,cost,number_of_fragments,complexity
0,154666666.6666667,1,1000000
1,159333.33333333337,2,1000000
2,16400.0,3,1000000
3,5813.333333333334,4,1000000
4,2516.666666666667,5,1000000
5,154666666.6666667,1,1000000
6,159333.33333333337,2,1000000
7,16400.0,3,1000000
8,6000.0,4,1000000
9,3831.6666666666674,5,1000000
10,154666666.6666667,1,1000000
11,159333.33333333337,2,1000000
12,19883.333333333336,3,1000000
13,5123.333333333334,4,1000000
14,2785.166666666667,5,1000000
15,154666666.6666667,1,1000000
16,159333.33333333337,2,1000000
17,22708.333333333336,3,1000000
18,4253.333333333334,4,1000000
19,3125.0,5,1000000
20,154666666.6666667,1,1000000
21,139166.6666666667,2,1000000
22,15343.333333333336,3,1000000
23,4635.0,4,1000000
24,2690.666666666667,5,1000000
25,154666666.6666667,1,1000000
26,153333.33333333334,2,1000000
27,16400.0,3,1000000
28,5017.5,4,1000000
29,2511.666666666667,5,1000000
30,154666666.6666667,1,1000000
31,159333.33333333337,2,1000000
32,16400.0,3,1000000
33,8241.666666666668,4,1000000
34,2738.333333333334,5,1000000
35,154666666.6666667,1,1000000
36,159333.33333333337,2,1000000
37,16400.0,3,1000000
38,4313.333333333334,4,1000000
39,2661.666666666667,5,1000000
40,154666666.6666667,1,1000000
41,159333.33333333337,2,1000000
42,21483.333333333336,3,1000000
43,5080.0,4,1000000
44,3451.6666666666674,5,1000000
45,154666666.6666667,1,1000000
46,159333.33333333337,2,1000000
47,12845.0,3,1000000
48,4448.333333333334,4,1000000
49,2501.666666666667,5,1000000
50,154666666.6666667,1,1000000
51,217916.66666666672,2,1000000
52,14708.333333333336,3,1000000
53,5745.0,4,1000000
54,2957.5,5,1000000
55,154666666.6666667,1,1000000
56,241533.33333333337,2,1000000
57,16468.333333333336,3,1000000
58,6270.0,4,1000000
59,2868.666666666667,5,1000000
60,154666666.6666667,1,1000000
61,156791.6666666667,2,1000000
62,20678.333333333336,3,1000000
63,4602.5,4,1000000
64,2963.333333333334,5,1000000
65,154666666.6666667,1,1000000
66,159333.33333333337,2,1000000
67,16400.0,3,1000000
68,6040.0,4,1000000
69,2634.166666666667,5,1000000
70,154666666.6666667,1,1000000
71,159333.33333333337,2,1000000
72,16400.0,3,1000000
73,5451.666666666668,4,1000000
74,3323.333333333334,5,1000000
75,154666666.6666667,1,1000000
76,197666.6666666667,2,1000000
77,19608.333333333336,3,1000000
78,6200.0,4,1000000
79,2734.166666666667,5,1000000
80,154666666.6666667,1,1000000
81,244916.66666666672,2,1000000
82,22053.333333333336,3,1000000
83,5300.0,4,1000000
84,3166.666666666667,5,1000000
85,154666666.6666667,1,1000000
86,164441.6666666667,2,1000000
87,20220.833333333336,3,1000000
88,4915.500000000001,4,1000000
89,2809.166666666667,5,1000000
90,154666666.6666667,1,1000000
91,159333.33333333337,2,1000000
92,25692.5,3,1000000
93,5466.666666666668,4,1000000
94,2750.666666666667,5,1000000
95,154666666.6666667,1,1000000
96,491066.66666666674,2,1000000
97,15958.333333333336,3,1000000
98,7980.0,4,1000000
99,2397.5,5,1000000
100,154666666.6666667,1,1000000
101,166916.6666666667,2,1000000
102,16400.0,3,1000000
103,7410.0,4,1000000
104,3461.6666666666674,5,1000000
105,154666666.6666667,1,1000000
106,162866.6666666667,2,1000000
107,17333.333333333336,3,1000000
108,6050.0,4,1000000
109,2569.166666666667,5,1000000
110,154666666.6666667,1,1000000
111,205916.6666666667,2,1000000
112,17433.333333333336,3,1000000
113,5135.0,4,1000000
114,2999.166666666667,5,1000000
115,154666666.6666667,1,1000000
116,151233.33333333334,2,1000000
117,15673.333333333336,3,1000000
118,9785.0,4,1000000
119,2586.666666666667,5,1000000
120,154666666.6666667,1,1000000
121,145316.6666666667,2,1000000
122,14120.0,3,1000000
123,5138.000000000001,4,1000000
124,2523.666666666667,5,1000000
125,154666666.6666667,1,1000000
126,159333.33333333337,2,1000000
127,15268.333333333336,3,1000000
128,5633.333333333334,4,1000000
129,2871.666666666667,5,1000000
130,154666666.6666667,1,1000000
131,263583.3333333334,2,1000000
132,13108.333333333336,3,1000000
133,4972.5,4,1000000
134,2549.166666666667,5,1000000
135,154666666.6666667,1,1000000
136,159333.33333333337,2,1000000
137,19758.333333333336,3,1000000
138,6070.0,4,1000000
139,3331.6666666666674,5,1000000
140,154666666.6666667,1,1000000
141,159333.33333333337,2,1000000
142,15658.333333333336,3,1000000
143,4380.0,4,1000000
144,2236.666666666667,5,1000000
145,154666666.6666667,1,1000000
146,159333.33333333337,2,1000000
147,16400.0,3,1000000
148,6053.333333333334,4,1000000
149,3571.6666666666674,5,1000000
150,154666666.6666667,1,1000000
151,129183.33333333336,2,1000000
152,16040.0,3,1000000
153,4550.0,4,1000000
154,3308.333333333334,5,1000000
155,154666666.6666667,1,1000000
156,211083.33333333337,2,1000000
157,16833.333333333336,3,1000000
158,5618.333333333334,4,1000000
159,2676.666666666667,5,1000000
160,154666666.6666667,1,1000000
161,156116.6666666667,2,1000000
162,17458.333333333336,3,1000000
163,7200.0,4,1000000
164,2266.666666666667,5,1000000
165,154666666.6666667,1,1000000
166,194666.6666666667,2,1000000
167,16400.0,3,1000000
168,5632.5,4,1000000
169,2659.166666666667,5,1000000
170,154666666.6666667,1,1000000
171,159333.33333333337,2,1000000
172,15103.333333333336,3,1000000
173,5945.0,4,1000000
174,3017.666666666667,5,1000000
175,154666666.6666667,1,1000000
176,174416.6666666667,2,1000000
177,16458.333333333336,3,1000000
178,5305.0,4,1000000
179,2861.666666666667,5,1000000
180,154666666.6666667,1,1000000
181,205833.33333333337,2,1000000
182,23300.833333333336,3,1000000
183,6162.666666666667,4,1000000
184,2307.6666666666665,5,1000000
185,154666666.6666667,1,1000000
186,251066.66666666672,2,1000000
187,15523.333333333336,3,1000000
188,5935.0,4,1000000
189,2723.333333333334,5,1000000
190,154666666.6666667,1,1000000
191,193166.6666666667,2,1000000
192,16400.0,3,1000000
193,6757.5,4,1000000
194,2774.166666666667,5,1000000
195,154666666.6666667,1,1000000
196,159333.33333333337,2,1000000
197,22358.333333333336,3,1000000
198,3625.0,4,1000000
199,2306.666666666667,5,1000000
200,154666666.6666667,1,1000000
201,170666.6666666667,2,1000000
202,18808.333333333336,3,1000000
203,4865.0,4,1000000
204,3179.166666666667,5,1000000
205,154666666.6666667,1,1000000
206,159333.33333333337,2,1000000
207,19633.333333333336,3,1000000
208,4688.333333333334,4,1000000
209,3249.666666666667,5,1000000
210,154666666.6666667,1,1000000
211,174416.6666666667,2,1000000
